barcode;кол-во
5471-OV-0203-AR-BLUE;0
5471-ST-0203-AR-BLUE;0
5471-ST-0203-AR-GREEN;0
6805-ST-0203-AR-BEIGE;0
6807-OV-0203-AR-PINK;0
6807-ST-0203-AR-YELLOW;0
5471-OV-1622-AR-BLUE;0
5471-ST-1622-AR-BLUE;0
5471-ST-1622-AR-GREEN;36
6805-ST-1622-AR-BEIGE;0
6807-OV-1622-AR-PINK;0
6807-ST-1622-AR-YELLOW;0
5471-OV-20285-AR-BLUE;0
5471-ST-20285-AR-BLUE;0
5471-ST-20285-AR-GREEN;17
6805-ST-20285-AR-BEIGE;42
6807-OV-20285-AR-PINK;0
6807-ST-20285-AR-YELLOW;0
5471-OV-2040-AR-BLUE;0
5471-ST-2040-AR-BLUE;0
5471-ST-2040-AR-GREEN;0
6805-ST-2040-AR-BEIGE;0
6807-OV-2040-AR-PINK;1
6807-ST-2040-AR-YELLOW;0
5471-OV-2433-AR-BLUE;1
5471-ST-2433-AR-BLUE;1
5471-ST-2433-AR-GREEN;0
6805-ST-2433-AR-BEIGE;0
6807-OV-2433-AR-PINK;0
6807-ST-2433-AR-YELLOW;0
5471-OV-2440-AR-BLUE;0
5471-ST-2440-AR-BLUE;0
5471-ST-2440-AR-GREEN;0
6805-ST-2440-AR-BEIGE;0
6807-OV-2440-AR-PINK;0
6807-ST-2440-AR-YELLOW;1
5471-OV-2838-AR-BLUE;0
5471-ST-2838-AR-BLUE;0
5471-ST-2838-AR-GREEN;1
6805-ST-2838-AR-BEIGE;0
6807-OV-2838-AR-PINK;0
6807-ST-2838-AR-YELLOW;0
