barcode;кол-во
148400-ST-0203-AT-01;0
148401-ST-0203-AT-04;0
148401-ST-0203-AT-09;0
148401-ST-0203-AT-10;0
148402-ST-0203-AT-01;0
148402-ST-0203-AT-06;0
148405-ST-0203-AT-01;0
148406-ST-0203-AT-01;0
148400-ST-0611-AT-01;6
148401-ST-0611-AT-04;0
148401-ST-0611-AT-09;6
148401-ST-0611-AT-10;0
148402-ST-0611-AT-01;3
148402-ST-0611-AT-06;18
148405-ST-0611-AT-01;30
148406-ST-0611-AT-01;1
148400-ST-0815-AT-01;7
148401-ST-0815-AT-04;4
148401-ST-0815-AT-09;14
148401-ST-0815-AT-10;2
148402-ST-0815-AT-01;0
148402-ST-0815-AT-06;9
148405-ST-0815-AT-01;19
148406-ST-0815-AT-01;0
148400-ST-1020-AT-01;2
148401-ST-1020-AT-04;2
148401-ST-1020-AT-09;2
148401-ST-1020-AT-10;0
148402-ST-1020-AT-01;2
148402-ST-1020-AT-06;2
148405-ST-1020-AT-01;1
148406-ST-1020-AT-01;0
148400-ST-1218-AT-01;8
148401-ST-1218-AT-04;10
148401-ST-1218-AT-09;16
148401-ST-1218-AT-10;1
148402-ST-1218-AT-01;6
148402-ST-1218-AT-06;4
148405-ST-1218-AT-01;0
148406-ST-1218-AT-01;0
148400-ST-1623-AT-01;7
148401-ST-1623-AT-04;0
148401-ST-1623-AT-09;9
148401-ST-1623-AT-10;0
148402-ST-1623-AT-01;2
148402-ST-1623-AT-06;2
148405-ST-1623-AT-01;0
148406-ST-1623-AT-01;0
148400-ST-2029-AT-01;3
148401-ST-2029-AT-04;9
148401-ST-2029-AT-09;6
148401-ST-2029-AT-10;0
148402-ST-2029-AT-01;2
148402-ST-2029-AT-06;3
148405-ST-2029-AT-01;0
148406-ST-2029-AT-01;0
