barcode;кол-во
122043-ST-2040-HA-0;0
122215-OV-2040-HA-0;2
122215-ST-2040-HA-0;0
122217-ST-2040-HA-0;0
122217-OV-2040-HA-0;2
122218-ST-2040-HA-0;0
122218-OV-2040-HA-0;1
122043-ST-3050-HA-0;0
122215-OV-3050-HA-0;0
122215-ST-3050-HA-0;1
122217-ST-3050-HA-0;0
122217-OV-3050-HA-0;0
122218-ST-3050-HA-0;1
122218-OV-3050-HA-0;0
122043-ST-4050-HA-0;3
122215-OV-4050-HA-0;0
122215-ST-4050-HA-0;0
122217-ST-4050-HA-0;5
122217-OV-4050-HA-0;0
122218-ST-4050-HA-0;6
122218-OV-4050-HA-0;0
122043-ST-4060-HA-0;1
122215-OV-4060-HA-0;0
122215-ST-4060-HA-0;0
122217-ST-4060-HA-0;0
122217-OV-4060-HA-0;0
122218-ST-4060-HA-0;0
122218-OV-4060-HA-0;0
