barcode;кол-во
F105-ST-0815-MO-BEIGE;0
F105-OV-0815-MO-BEIGE;5
F106-ST-0815-MO-BEIGE;8
F106-OV-0815-MO-BEIGE;4
F107-ST-0815-MO-BEIGE;5
F110-ST-0815-MO-BEIGE;9
F110-OV-0815-MO-BEIGE;3
F114-ST-0815-MO-BEIGE;16
F114-OV-0815-MO-BEIGE;9
F116-ST-0815-MO-BEIGE;0
F116-OV-0815-MO-BEIGE;6
F364-ST-0815-MO-GRAY;0
F364-ST-0815-MO-LIGHT-GRAY;0
F365-ST-0815-MO-GRAY;0
F366-ST-0815-MO-GRAY;0
F367-ST-0815-MO-GRAY;0
F368-ST-0815-MO-GRAY-2;0
F413-ST-0815-MO-GRAY;0
F418-ST-0815-MO-GRAY;0
F105-ST-1020-MO-BEIGE;28
F105-OV-1020-MO-BEIGE;7
F106-ST-1020-MO-BEIGE;49
F106-OV-1020-MO-BEIGE;24
F107-ST-1020-MO-BEIGE;22
F110-ST-1020-MO-BEIGE;28
F110-OV-1020-MO-BEIGE;26
F114-ST-1020-MO-BEIGE;42
F114-OV-1020-MO-BEIGE;32
F116-ST-1020-MO-BEIGE;17
F116-OV-1020-MO-BEIGE;0
F364-ST-1020-MO-GRAY;0
F364-ST-1020-MO-LIGHT-GRAY;0
F365-ST-1020-MO-GRAY;0
F366-ST-1020-MO-GRAY;0
F367-ST-1020-MO-GRAY;0
F368-ST-1020-MO-GRAY-2;0
F413-ST-1020-MO-GRAY;0
F418-ST-1020-MO-GRAY;0
F105-ST-1623-MO-BEIGE;42
F105-OV-1623-MO-BEIGE;20
F106-ST-1623-MO-BEIGE;38
F106-OV-1623-MO-BEIGE;25
F107-ST-1623-MO-BEIGE;63
F110-ST-1623-MO-BEIGE;35
F110-OV-1623-MO-BEIGE;19
F114-ST-1623-MO-BEIGE;50
F114-OV-1623-MO-BEIGE;31
F116-ST-1623-MO-BEIGE;49
F116-OV-1623-MO-BEIGE;22
F364-ST-1623-MO-GRAY;0
F364-ST-1623-MO-LIGHT-GRAY;0
F365-ST-1623-MO-GRAY;0
F366-ST-1623-MO-GRAY;0
F367-ST-1623-MO-GRAY;0
F368-ST-1623-MO-GRAY-2;0
F413-ST-1623-MO-GRAY;0
F418-ST-1623-MO-GRAY;0
F105-ST-1630-MO-BEIGE;27
F105-OV-1630-MO-BEIGE;12
F106-ST-1630-MO-BEIGE;29
F106-OV-1630-MO-BEIGE;9
F107-ST-1630-MO-BEIGE;0
F110-ST-1630-MO-BEIGE;12
