barcode;кол-во
30171-ST-0203-SA-030-BLUE;0
32991-ST-0203-SA-070-BEIGE;0
O1441-ST-0203-SA-065-VIZON;0
O1442-ST-0203-SA-030-BLUE;0
O1443-ST-0203-SA-030-BLUE;0
O1444-ST-0203-SA-070-BEIGE;0
30171-ST-0815-SA-030-BLUE;70
32991-ST-0815-SA-070-BEIGE;0
O1441-ST-0815-SA-065-VIZON;0
O1442-ST-0815-SA-030-BLUE;0
O1443-ST-0815-SA-030-BLUE;1
O1444-ST-0815-SA-070-BEIGE;109
30171-ST-1217-SA-030-BLUE;2
32991-ST-1217-SA-070-BEIGE;0
O1441-ST-1217-SA-065-VIZON;0
O1442-ST-1217-SA-030-BLUE;0
O1443-ST-1217-SA-030-BLUE;15
O1444-ST-1217-SA-070-BEIGE;46
30171-ST-1623-SA-030-BLUE;20
32991-ST-1623-SA-070-BEIGE;0
O1441-ST-1623-SA-065-VIZON;1
O1442-ST-1623-SA-030-BLUE;22
O1443-ST-1623-SA-030-BLUE;55
O1444-ST-1623-SA-070-BEIGE;19
30171-ST-2029-SA-030-BLUE;39
32991-ST-2029-SA-070-BEIGE;23
O1441-ST-2029-SA-065-VIZON;13
O1442-ST-2029-SA-030-BLUE;24
O1443-ST-2029-SA-030-BLUE;42
O1444-ST-2029-SA-070-BEIGE;11
30171-ST-2040-SA-030-BLUE;3
32991-ST-2040-SA-070-BEIGE;6
O1441-ST-2040-SA-065-VIZON;0
O1442-ST-2040-SA-030-BLUE;10
O1443-ST-2040-SA-030-BLUE;6
O1444-ST-2040-SA-070-BEIGE;6
30171-ST-2434-SA-030-BLUE;14
32991-ST-2434-SA-070-BEIGE;5
O1441-ST-2434-SA-065-VIZON;14
O1442-ST-2434-SA-030-BLUE;18
O1443-ST-2434-SA-030-BLUE;15
O1444-ST-2434-SA-070-BEIGE;14
30171-ST-2440-SA-030-BLUE;1
32991-ST-2440-SA-070-BEIGE;3
O1441-ST-2440-SA-065-VIZON;0
O1442-ST-2440-SA-030-BLUE;0
O1443-ST-2440-SA-030-BLUE;3
O1444-ST-2440-SA-070-BEIGE;1
30171-ST-3040-SA-030-BLUE;1
32991-ST-3040-SA-070-BEIGE;7
O1441-ST-3040-SA-065-VIZON;3
O1442-ST-3040-SA-030-BLUE;0
O1443-ST-3040-SA-030-BLUE;5
O1444-ST-3040-SA-070-BEIGE;3
