barcode;кол-во
s600-ST-0203-SH-BEIGE;0
s600-ST-0203-SH-CREAM;0
s600-ST-0203-SH-GREEN;0
s606-OV-0203-SH-CREAM;0
s600-ST-0815-SH-BEIGE;22
s600-ST-0815-SH-CREAM;260
s600-ST-0815-SH-GREEN;0
s606-OV-0815-SH-CREAM;0
s600-ST-1020-SH-BEIGE;12
s600-ST-1020-SH-CREAM;173
s600-ST-1020-SH-GREEN;0
s606-OV-1020-SH-CREAM;0
s600-ST-1523-SH-BEIGE;265
s600-ST-1523-SH-CREAM;465
s600-ST-1523-SH-GREEN;120
s606-OV-1523-SH-CREAM;0
s600-ST-1550-SH-BEIGE;0
s600-ST-1550-SH-CREAM;0
s600-ST-1550-SH-GREEN;0
s606-OV-1550-SH-CREAM;1
s600-ST-2030-SH-BEIGE;0
s600-ST-2030-SH-CREAM;0
s600-ST-2030-SH-GREEN;19
s606-OV-2030-SH-CREAM;0
